Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os01g0263300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.9	1.04184638011489e-89	
Os03g0820300	oryza sativa	E-GEOD-62894	'pish; virulent line of rice blast fungus; susceptible' at '5 day' vs 'pish; water; susceptible' at '5 day'	7.9	0.00000700110649572604	
Os12g0555500	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '3 day' vs 'Pia; water; resistant' at '3 day'	7.9	0.0134456459078271	
Os05g0542500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	7.8	1.84205748850549e-7	
Os07g0142200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.7	8.96198272096737e-33	
Os06g0127100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.7	7.31291691811341e-12	
Os05g0542500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	7.7	6.10616352735173e-7	
Os05g0381400	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.6	1.1056752486677e-8	
Os07g0142200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-7.5	8.05126568711986e-25	
Os05g0381400	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.5	8.74368008713689e-10	
Os05g0542500	oryza sativa	E-GEOD-42028	'MADS29 OX overexpression' vs 'wild type'	7.5	0.0000396771359764799	
Os09g0522200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.4	2.47083321419931e-65	
Os11g0167800	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 10 degree celsius'	-7.4	6.84203950185614e-45	
Os03g0315400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.4	2.21588728280626e-31	
Os05g0381400	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.4	3.19463127034958e-9	
Os12g0555500	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '2 day' vs 'pia; water; susceptible' at '2 day'	7.4	0.0182467242407601	
Os12g0555500	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '2 day' vs 'Pia; water; resistant' at '2 day'	7.4	0.0408434711470482	
Os01g0968800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.3	2.8845974716748e-10	
Os05g0381400	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.3	7.24304530138807e-9	
Os02g0543000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.2	4.4333640717481e-83	
Os06g0726300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.2	2.16726695282846e-11	
Os05g0381400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.2	7.31643952980278e-10	
Os02g0571100	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '1 day' vs 'Pia; water; resistant' at '1 day'	7.2	0.00225630994527071	
Os03g0820300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.1	2.00529235508661e-55	
Os05g0381400	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	7.1	2.77196062678544e-14	
Os04g0178300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.1	1.73266857668306e-7	
Os02g0677300	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	7.1	3.46013362292933e-7	
Os02g0661100	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	7.1	0.00000147496415905377	
Os02g0677300	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	7	5.17881695050138e-8	
Os02g0677300	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	7	2.79189774230364e-7	
Os02g0661100	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	7	0.00000814028433604795	
Os03g0230300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.9	1.30072018120383e-137	
Os10g0148100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.9	4.71480211625903e-20	
Os05g0381400	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.9	3.75406726259092e-8	
Os01g0968800	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.9	0.000640190862123509	
Os04g0600200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.8	2.87760520503251e-29	
Os11g0167800	oryza sativa	E-MTAB-6740	'seed germination stage' vs 'seed dormant stage' in  '30 degree celsius; 8 hour'	-6.8	2.19265062130054e-26	
Os05g0381400	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.8	1.62784999119543e-7	
Os02g0661100	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6.8	0.00000397321397215115	
Os02g0677300	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.8	0.00000787979296780165	
Os01g0823500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.7	3.15846279761975e-15	
Os02g0661100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	9.71953741303207e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	0.00000244186397194571	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.6	0.000221323297578276	
Os04g0178300	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '2 day' vs 'pia; water; susceptible' at '2 day'	6.6	0.0335024875894356	
Os03g0230300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.5	1.49586264965851e-104	
Os11g0167800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-6.5	1.02620235049218e-57	
Os07g0142200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.5	2.94678361165715e-12	
Os01g0968800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.5	1.62412976872876e-10	
Os05g0381400	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6.5	4.97015405502475e-8	
Os02g0661100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	1.87647785570243e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	0.00000146537664943458	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; none'	-6.5	0.0000603212499094381	
Os02g0677300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.5	0.000611286326715746	
Os09g0522200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Thaibonnet'	6.4	8.5126178356046e-173	
Os04g0178300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '12 hour; plant embryo coleoptile'	-6.4	5.38294522233947e-36	
Os09g0541000	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	-6.4	7.29054047200319e-15	
Os01g0805600	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	6.4	3.96903916091372e-8	
Os05g0381400	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-6.4	2.4433171194342e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.4	0.00000545886796522131	
Os02g0677300	oryza sativa	E-GEOD-37940	'2 hour;cold stress' vs '0 hour;control' in 'C418'	6.4	0.0000126658762749791	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; none'	-6.4	0.0000301165216153554	
Os11g0523700	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	-6.3	1.24682176910462e-64	
Os08g0546800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.3	4.4502304118503e-38	
Os01g0823500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.3	1.47906074735334e-14	
Os06g0127100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	6.3	8.37131855148987e-7	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.3	0.0001530793603326	
Os02g0624300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.2	3.65372101728174e-13	
Os03g0820300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.2	1.36177846047261e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	2.79189774230364e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.2	6.57017171228027e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.2	0.00000525521031434406	
Os02g0661100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	0.000020972638261539	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.2	0.00014071298547232	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	-6.2	0.00051094916679856	
Os04g0178300	oryza sativa	E-GEOD-62895	'pia; virulent line of rice blast fungus; susceptible' at '1 day' vs 'pia; water; susceptible' at '1 day'	6.2	0.041853578960169	
Os06g0662200	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	6.1	2.75135894499046e-9	
Os06g0662200	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	6.1	2.89620389288138e-8	
Os06g0127100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.1	7.95199837851476e-8	
Os06g0708400	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.1	1.70423793044095e-7	
Os06g0708400	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.1	4.41050007320521e-7	
Os03g0230300	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 48 hour' vs 'control; tolerant to chilling'	6.1	0.00000304135021094477	
Os02g0677300	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.1	0.0000112286015135103	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.1	0.0000293687915358455	
Os02g0677300	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	6.1	0.0000575037917431492	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	-6.1	0.000160703789788703	
Os05g0381400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; mock'	6.1	0.000357189376613125	
Os02g0677300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	-6.1	0.000841455192469573	
Os12g0555500	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '5 day' vs 'Pia; water; resistant' at '5 day'	6.1	0.0432870325541743	
Os12g0555500	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	6	0	
Os09g0334500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6	0	
Os04g0684900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6	3.54379706494783e-133	
Os06g0127100	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-6	3.57914600873507e-40	
Os02g0624300	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	6	2.59094409810684e-35	
Os06g0662200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6	8.89031123588143e-9	
Os02g0661100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.00000852125112711666	
Os02g0661100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000364465633566859	
Os04g0178300	oryza sativa	E-GEOD-62895	'Pia; avirulent line of rice blast fungus; resistant' at '2 day' vs 'Pia; water; resistant' at '2 day'	6	0.0388720670261522	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-5.9	0	
Os05g0476700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.9	6.1844037560823e-100	
Os06g0662200	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	5.9	5.59259734372399e-8	
Os05g0381400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.9	4.0618638387664e-7	
Os03g0315400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	5.9	0.0000109248752340766	
Os02g0661100	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	5.9	0.0000123348534942743	
Os06g0127100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'K354'	5.9	0.0000166022391618515	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; none'	-5.9	0.0000830553906505971	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	-5.9	0.000175374135785356	
Os01g0968800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.9	0.000324147728174151	
Os05g0381400	oryza sativa	E-GEOD-58603	'none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf' vs 'none; salt-tolerant introgression line PL177; normal watering; leaf'	5.9	0.00185725526099399	
Os04g0600200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.8	8.52335438290942e-124	
Os05g0322900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-5.8	1.71839386704718e-66	
Os08g0546800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.8	1.89890277298421e-28	
Os03g0820300	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	5.8	5.00974906701684e-28	
Os10g0148100	oryza sativa	E-MTAB-6740	'seed germination stage' vs 'seed dormant stage' in  '30 degree celsius; 8 hour'	-5.8	5.60680619911922e-18	
Os03g0820300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.8	5.56089738956818e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'2 hour;cold stress' vs '0 hour;control' in 'C418'	5.8	0.0000238056612021736	
Os05g0542500	oryza sativa	E-GEOD-60823	'spx1 spx2 mutant' vs 'wild type' in 'phosphate 200 micromolar'	5.8	0.0000331828530834492	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 8 hour' vs 'control; sensitive to chilling'	5.8	0.000128210761759781	
Os01g0805600	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '24 hour; plant embryo coleoptile'	-5.7	9.89927057230492e-235	
Os10g0148100	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-5.7	2.73734950384646e-19	
Os06g0127100	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.7	8.36202404695176e-14	
Os06g0127100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	5.7	4.81594455357886e-7	
Os03g0820300	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 48 hour' vs 'control; tolerant to chilling'	5.7	0.00000431471872600937	
Os09g0522000	oryza sativa	E-MEXP-1766	'1 hour, germination' vs '0 hour, dry seed'	5.7	0.00000444633841776377	
Os03g0315400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	5.7	0.0000575037917431492	
Os02g0677300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; none'	-5.7	0.000700058058338218	
Os05g0381400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; mock'	5.7	0.00125437635515794	
Os05g0381400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; mock'	5.7	0.00148191655947612	
Os03g0230300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.6	6.48569101289715e-86	
Os05g0542500	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.6	7.07199208945591e-14	
Os06g0644200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.6	6.99879421472628e-12	
Os02g0669100	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-5.6	9.11506707152611e-9	
Os03g0820300	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	5.6	7.38310294159386e-8	
Os07g0693800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	-5.6	2.73666268652542e-7	
Os04g0541700	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.6	0.0000011446640301977	
Os02g0624300	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	5.6	0.0000160519997689605	
Os02g0661100	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 8 hour' vs 'control; tolerant to chilling'	5.6	0.000107846662082268	
Os05g0381400	oryza sativa	E-GEOD-40549	'iron defiency; epidermis plus exodermis of root' vs 'normal; epidermis plus exodermis of root'	5.6	0.000382653774085758	
Os05g0542500	oryza sativa	E-GEOD-58603	'none; wild type genotype; sodium chloride 140 millimolar; leaf' vs 'none; wild type genotype; normal watering; leaf'	5.6	0.0017314238277639	
Os05g0476700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.5	9.67593084396886e-67	
Os03g0820300	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	5.5	1.62233815123687e-27	
Os10g0148100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-5.5	5.58580695180891e-12	
Os05g0542500	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-5.5	1.79524367902008e-9	
Os05g0381400	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.5	5.69296111685123e-8	
Os02g0677300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.5	1.34371638655651e-7	
Os04g0541700	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	5.5	4.4232054020373e-7	
Os09g0522200	oryza sativa	E-GEOD-39432	'42 days after flowering' vs '7 days after flowering' in 'endosperm'	-5.5	0.00000115069697691176	
Os06g0708400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	5.5	0.0000311459475567266	
Os06g0127100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	5.5	0.0000554591732524011	
