Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os01g0615100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-9.4	9.25691270106204e-186	
Os01g0968800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.4	6.8146408713862e-16	
Os03g0180800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-9.3	1.34744239511268e-42	
Os09g0457900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	9.3	2.27867733593741e-24	
Os05g0420300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	9.3	1.26506478209454e-17	
Os06g0127100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.3	9.13411757833107e-16	
Os09g0522200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.2	5.97013154371378e-100	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	9.1	3.87768377526596e-194	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-9.1	4.95262136457638e-155	
Os03g0133000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.1	1.54574955203396e-24	
Os06g0687200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.1	2.41921969748822e-12	
Os09g0522000	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	9	7.4824211655604e-232	
Os04g0659300	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	9	1.59795771846606e-9	
Os09g0522200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	8.9	1.7265167513188e-129	
Os05g0420300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.8	2.27027472284175e-11	
Os06g0127100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.7	1.34326801005779e-13	
Os04g0659300	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	8.7	3.54341025864394e-8	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	8.6	6.56390967609529e-132	
Os01g0136200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.5	2.29635959857298e-14	
Os04g0659300	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	8.5	4.81276599780788e-8	
Os09g0457900	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	8.4	0.00000181593696461296	
Os03g0576200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.4	0.00000877389952239474	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain L8' vs 'mock'	8.3	3.37576061679748e-60	
Os03g0575200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-8.3	4.68045459622735e-39	
Os09g0457900	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	8.3	8.71378831470349e-8	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	8.3	1.42319764181081e-7	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	8.2	4.63852573070027e-83	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	8.2	6.93993651868737e-72	
Os09g0522000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.2	2.41346512979311e-30	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	8.2	4.52735403278432e-7	
Os04g0401700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.1	5.42853799085672e-179	
Os10g0521000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.1	3.43127336006968e-32	
Os09g0457900	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	8.1	0.00000167749380556266	
Os01g0839100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8	2.34004291845935e-200	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	8	1.03672111441017e-94	
Os12g0150200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8	1.45430438403151e-67	
Os03g0322900	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	8	5.84936332445885e-8	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.9	1.06049220572752e-223	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	7.9	9.86471251942866e-68	
Os05g0276500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.9	3.76134421792625e-29	
Os03g0820300	oryza sativa	E-GEOD-62894	'pish; virulent line of rice blast fungus; susceptible' at '5 day' vs 'pish; water; susceptible' at '5 day'	7.9	0.00000700110649572604	
Os01g0868000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.8	1.10377106655743e-48	
Os03g0180800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.8	2.03759137595718e-24	
Os01g0136200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.8	3.3828093196201e-9	
Os05g0542500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	7.8	1.84205748850549e-7	
Os09g0457900	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	7.8	0.0000229871198382013	
Os07g0154100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.7	3.10123432332451e-15	
Os06g0127100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.7	7.31291691811341e-12	
Os10g0370500	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	7.7	8.08857924756906e-9	
Os10g0370500	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	7.7	8.96254214239707e-8	
Os05g0542500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	7.7	6.10616352735173e-7	
Os03g0170900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.5	3.89635524503113e-164	
Os01g0827300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.5	1.60934552908916e-25	
Os05g0542500	oryza sativa	E-GEOD-42028	'MADS29 OX overexpression' vs 'wild type'	7.5	0.0000396771359764799	
Os07g0150700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.4	0	
Os09g0522200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.4	2.47083321419931e-65	
Os03g0315400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.4	2.21588728280626e-31	
Os02g0810900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.4	2.8362875699142e-12	
Os05g0276500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	7.4	1.89839082805876e-8	
Os10g0370500	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	7.4	2.25643285067941e-8	
Os09g0457900	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	7.4	0.00000429590778276467	
Os09g0457900	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'K354'	7.4	0.0000194896722614242	
Os04g0401700	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	7.3	8.50350147136218e-217	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain CFBP7342' vs 'mock'	7.3	7.20333074146502e-149	
Os11g0127600	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.3	6.87210644161883e-31	
Os01g0968800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.3	2.8845974716748e-10	
Os01g0136200	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-7.3	3.13142717669115e-8	
Os09g0457900	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	7.3	0.00000170764022693232	
Os02g0662000	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	7.3	0.00000449221266738012	
Os09g0457900	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	7.3	0.00000922739075770702	
Os09g0457900	oryza sativa	E-GEOD-37940	'2 hour;cold stress' vs '0 hour;control' in 'C418'	7.3	0.0000168967708130834	
Os07g0154100	oryza sativa	E-MTAB-5025	'Laodelphax striatella' vs 'none'	7.2	5.5461019954379e-184	
Os01g0955100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.2	1.34423641148173e-120	
Os05g0276500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-7.2	7.41259197102401e-53	
Os01g0827300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-7.2	5.78091047478689e-32	
Os03g0281900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.2	6.45801929617186e-18	
Os01g0955100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.1	2.28092782971264e-124	
Os04g0110100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.1	1.03122007235726e-62	
Os03g0820300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.1	2.00529235508661e-55	
Os12g0150200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.1	3.30315318535617e-45	
Os04g0659300	oryza sativa	E-MTAB-3834	'submergence low oxygen' vs 'normal air'	7.1	8.51271237058106e-43	
Os08g0433500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-7.1	1.48393912864343e-23	
Os01g0859300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.1	5.71270730811349e-12	
Os10g0370500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	7.1	3.07777763085131e-9	
Os03g0322900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.1	7.8132587097902e-9	
Os02g0661100	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	7.1	0.00000147496415905377	
Os01g0955100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7	5.81161456984895e-72	
Os05g0276500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7	8.35874349651696e-17	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	7	5.6140147769548e-9	
Os10g0370500	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	7	6.5996254545414e-9	
Os02g0661100	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	7	0.00000814028433604795	
Os01g0609300	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	6.9	5.63022679331038e-56	
Os01g0615100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.9	3.8229292117753e-43	
Os03g0322900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.9	2.30200767420149e-9	
Os10g0370500	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	6.9	2.91100968098873e-8	
Os09g0457900	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 24 hour' vs 'control; tolerant to chilling'	6.9	0.000262391730800985	
Os01g0968800	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.9	0.000640190862123509	
Os04g0659300	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.9	0.000797195193434485	
Os12g0150200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	6.8	8.934005389535e-47	
Os03g0180800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.8	1.09609908535065e-34	
Os02g0810900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.8	1.33681467319606e-11	
Os01g0571300	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.8	1.07615373223229e-9	
Os03g0322900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.8	2.54040683825489e-9	
Os01g0571300	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.8	8.50785655234065e-9	
Os02g0661100	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6.8	0.00000397321397215115	
Os01g0571300	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.7	9.92368534224008e-9	
Os02g0462800	oryza sativa	E-GEOD-62894	'pish; virulent line of rice blast fungus; susceptible' at '5 day' vs 'pish; water; susceptible' at '5 day'	6.7	6.98220902667507e-7	
Os01g0868000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.6	1.82326602421457e-87	
Os08g0374600	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	6.6	1.32448377601937e-35	
Os08g0374600	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.6	3.04413456941623e-21	
Os03g0576200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.6	4.49555797934528e-18	
Os02g0810900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-6.6	3.01931224197949e-13	
Os03g0322900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.6	8.75102232870478e-9	
Os04g0659300	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	6.6	3.15083106869387e-8	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.6	7.45029939289993e-8	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6.6	1.07428870841346e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	9.71953741303207e-7	
Os03g0180800	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	0.00000240956244880363	
Os02g0661100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	0.00000244186397194571	
Os04g0110100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.6	0.00000338252820964693	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.6	0.000221323297578276	
Os03g0815100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.5	2.01821967847461e-132	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain RS105' vs 'mock'	6.5	2.76276983109511e-59	
Os01g0141000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.5	1.08887069354169e-34	
Os01g0968800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.5	1.62412976872876e-10	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	6.5	3.60009164076186e-8	
Os03g0180800	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	1.21553920932482e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	1.87647785570243e-7	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	6.5	3.37984345432424e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	0.00000146537664943458	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; none'	-6.5	0.0000603212499094381	
Os09g0522200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Thaibonnet'	6.4	8.5126178356046e-173	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain CFBP7341' vs 'mock'	6.4	4.42297312430652e-57	
Os08g0374600	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	6.4	2.05653571451504e-43	
Os03g0281900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.4	3.22761267783955e-20	
Os03g0180800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.4	2.54882376823217e-10	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.4	3.24060666839375e-8	
Os02g0462800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.4	0.00000119764356386381	
Os06g0127100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.4	0.00000545886796522131	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; none'	-6.4	0.0000301165216153554	
Os12g0150200	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.4	0.000699636788880037	
Os09g0457900	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.4	0.00138512184362737	
Os01g0609300	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	6.3	8.09870301301629e-276	
Os02g0662000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.3	1.93075187053131e-137	
Os08g0546800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.3	4.4502304118503e-38	
Os03g0180800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.3	5.25516765407919e-26	
Os06g0127100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	6.3	8.37131855148987e-7	
Os09g0457900	oryza sativa	E-MEXP-1766	'1 hour, germination' vs '0 hour, dry seed'	6.3	0.00000444633841776377	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.3	0.0001530793603326	
Os01g0733200	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-6.2	9.42820291088443e-9	
Os03g0820300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.2	1.36177846047261e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	2.79189774230364e-7	
Os01g0733200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.2	4.26572856265013e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.2	6.57017171228027e-7	
Os12g0150200	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	0.00000117932370349173	
Os02g0661100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.2	0.00000525521031434406	
Os09g0457900	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 48 hour' vs 'control; tolerant to chilling'	6.2	0.0000112620312626431	
Os02g0661100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	0.000020972638261539	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.2	0.00014071298547232	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	-6.2	0.00051094916679856	
Os03g0322900	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	6.2	0.000574817723158058	
Os04g0110100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.1	2.12339466770454e-47	
Os01g0136200	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6.1	1.84746571951171e-14	
Os06g0127100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.1	7.95199837851476e-8	
Os01g0839100	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	6.1	0.0000102358792166923	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.1	0.0000293687915358455	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	-6.1	0.000160703789788703	
Os03g0170900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6	5.53653641264046e-175	
Os06g0127100	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-6	3.57914600873507e-40	
Os01g0839100	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6	2.3379812671824e-14	
Os11g0454300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6	1.27914683403229e-12	
Os01g0839100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6	2.47216794764575e-9	
Os01g0733200	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6	4.41050007320521e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.00000852125112711666	
Os03g0180800	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000100322815784248	
Os02g0661100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000364465633566859	
Os03g0180800	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000589159814858422	
Os07g0561300	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6	0.000138722486490944	
Os01g0348900	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	6	0.00126593368605357	
Os09g0457900	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6	0.00597640966743872	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-5.9	0	
Os02g0662000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-5.9	4.3030523023973e-23	
Os01g0733200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-5.9	4.55413263155697e-9	
Os01g0571300	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-5.9	1.50930988377788e-8	
