Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os09g0522000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.7	4.64049060961385e-37	
Os03g0336100	oryza sativa	E-MTAB-4406	'moderately resistant to bacterial panicle blight disease' vs 'susceptible to bacterial panicle blight disease' in 'control' at 'flowering stage'	-9.5	4.29748330672633e-99	
Os01g0615100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-9.4	9.25691270106204e-186	
Os08g0545500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.4	6.3948750681375e-27	
Os01g0968800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.4	6.8146408713862e-16	
Os03g0180800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-9.3	1.34744239511268e-42	
Os06g0127100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.3	9.13411757833107e-16	
Os09g0522200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	9.2	5.97013154371378e-100	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	9.1	3.87768377526596e-194	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-9.1	4.95262136457638e-155	
Os03g0133000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	9.1	1.54574955203396e-24	
Os10g0409400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-9.1	3.91512410566577e-20	
Os09g0522000	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	9	7.4824211655604e-232	
Os02g0749700	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	9	6.93028350818857e-44	
Os04g0659300	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	9	1.59795771846606e-9	
Os11g0704500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.9	7.40098211655952e-168	
Os09g0522200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	8.9	1.7265167513188e-129	
Os09g0127300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-8.9	1.6247170823158e-22	
Os02g0134200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.8	1.53172562925656e-95	
Os03g0741100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-8.7	9.38891138288234e-165	
Os06g0127100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.7	1.34326801005779e-13	
Os04g0659300	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	8.7	3.54341025864394e-8	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	8.6	6.56390967609529e-132	
Os09g0109600	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-8.6	7.76721547597315e-10	
Os10g0409400	oryza sativa	E-GEOD-42028	'MADS29 OX overexpression' vs 'wild type'	8.6	0.000122660919191784	
Os01g0136200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.5	2.29635959857298e-14	
Os09g0109600	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-8.5	1.77840838891797e-9	
Os04g0659300	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	8.5	4.81276599780788e-8	
Os02g0543000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.4	9.12838893421868e-115	
Os11g0167800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-8.4	1.28604783435692e-75	
Os10g0409400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-8.4	4.46578741197585e-34	
Os03g0327800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-8.4	1.99775298594903e-33	
Os09g0109600	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-8.4	1.95616195959509e-8	
Os09g0109600	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-8.4	1.62993447293203e-7	
Os03g0576200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.4	0.00000877389952239474	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain L8' vs 'mock'	8.3	3.37576061679748e-60	
Os03g0575200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-8.3	4.68045459622735e-39	
Os04g0301500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.3	3.57124618866247e-36	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	8.3	1.42319764181081e-7	
Os11g0592200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	8.2	1.72117787328848e-108	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	8.2	4.63852573070027e-83	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	8.2	6.93993651868737e-72	
Os09g0522000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8.2	2.41346512979311e-30	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	8.2	4.52735403278432e-7	
Os09g0109600	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	8.2	0.00000114408893666426	
Os04g0401700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-8.1	5.42853799085672e-179	
Os10g0521000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	8.1	3.43127336006968e-32	
Os09g0109600	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	8.1	3.7764287991e-7	
Os11g0211800	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	8.1	0.00000519660237112037	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	8	1.03672111441017e-94	
Os12g0150200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8	1.45430438403151e-67	
Os12g0617400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	8	6.59080905890699e-46	
Os06g0110200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-8	1.01373366118319e-8	
Os03g0322900	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	8	5.84936332445885e-8	
Os10g0409400	oryza sativa	E-MTAB-5025	'Laodelphax striatella' vs 'none'	-7.9	1.46261080591727e-226	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.9	1.06049220572752e-223	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	7.9	9.86471251942866e-68	
Os05g0276500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.9	3.76134421792625e-29	
Os03g0820300	oryza sativa	E-GEOD-62894	'pish; virulent line of rice blast fungus; susceptible' at '5 day' vs 'pish; water; susceptible' at '5 day'	7.9	0.00000700110649572604	
Os03g0180800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.8	2.03759137595718e-24	
Os12g0617400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.8	7.28654359719325e-20	
Os05g0349800	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	7.8	2.83136937727481e-14	
Os01g0862800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.8	1.28323531391726e-9	
Os01g0136200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.8	3.3828093196201e-9	
Os05g0542500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	7.8	1.84205748850549e-7	
Os01g0633500	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 10 degree celsius'	-7.7	1.97397325041211e-73	
Os07g0154100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.7	3.10123432332451e-15	
Os06g0127100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.7	7.31291691811341e-12	
Os10g0370500	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	7.7	8.08857924756906e-9	
Os09g0109600	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-7.7	7.05021982211827e-8	
Os10g0370500	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	7.7	8.96254214239707e-8	
Os05g0542500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	7.7	6.10616352735173e-7	
Os11g0211800	oryza sativa	E-GEOD-69010	'phr1, phr2, phr3 triple mutant' vs 'wild type'	7.7	0.00000242044782719459	
Os12g0617400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.6	4.37644907509554e-35	
Os03g0741100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.6	7.24164527066718e-27	
Os05g0381400	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.6	1.1056752486677e-8	
Os03g0170900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.5	3.89635524503113e-164	
Os04g0301500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.5	1.17717856756981e-157	
Os04g0578000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.5	1.29751082184466e-125	
Os01g0827300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.5	1.60934552908916e-25	
Os05g0381400	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.5	8.74368008713689e-10	
Os06g0110200	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.5	9.12965063304634e-10	
Os05g0542500	oryza sativa	E-GEOD-42028	'MADS29 OX overexpression' vs 'wild type'	7.5	0.0000396771359764799	
Os07g0150700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.4	0	
Os02g0802500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	7.4	0	
Os02g0134200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.4	3.23974784685276e-69	
Os09g0522200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.4	2.47083321419931e-65	
Os11g0167800	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 10 degree celsius'	-7.4	6.84203950185614e-45	
Os03g0315400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.4	2.21588728280626e-31	
Os02g0810900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.4	2.8362875699142e-12	
Os09g0127300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.4	9.09651235478576e-12	
Os06g0246500	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.4	8.65897129686164e-10	
Os05g0381400	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.4	3.19463127034958e-9	
Os05g0349800	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.4	8.43209255685463e-9	
Os05g0276500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	7.4	1.89839082805876e-8	
Os10g0370500	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	7.4	2.25643285067941e-8	
Os04g0401700	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	7.3	8.50350147136218e-217	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain CFBP7342' vs 'mock'	7.3	7.20333074146502e-149	
Os03g0741100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.3	3.48441633236677e-142	
Os11g0127600	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.3	6.87210644161883e-31	
Os01g0968800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.3	2.8845974716748e-10	
Os03g0186900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	7.3	1.59795771846606e-9	
Os06g0246500	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.3	3.39857732565311e-9	
Os09g0325700	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.3	5.9551398959747e-9	
Os05g0381400	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.3	7.24304530138807e-9	
Os01g0136200	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-7.3	3.13142717669115e-8	
Os06g0141200	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	-7.3	0.00000348921068713519	
Os02g0662000	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	7.3	0.00000449221266738012	
Os07g0154100	oryza sativa	E-MTAB-5025	'Laodelphax striatella' vs 'none'	7.2	5.5461019954379e-184	
Os01g0955100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.2	1.34423641148173e-120	
Os02g0543000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.2	4.4333640717481e-83	
Os03g0300400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.2	3.38982514451152e-56	
Os05g0276500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-7.2	7.41259197102401e-53	
Os01g0827300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-7.2	5.78091047478689e-32	
Os03g0281900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7.2	6.45801929617186e-18	
Os06g0726300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-7.2	2.16726695282846e-11	
Os05g0381400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.2	7.31643952980278e-10	
Os10g0177200	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7.2	6.6167894906533e-9	
Os05g0349800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	7.2	8.02878643726241e-9	
Os06g0110200	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.2	8.54462256684048e-9	
Os03g0186900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	7.2	1.99778116221473e-8	
Os01g0955100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	7.1	2.28092782971264e-124	
Os03g0820300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.1	2.00529235508661e-55	
Os12g0150200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.1	3.30315318535617e-45	
Os04g0659300	oryza sativa	E-MTAB-3834	'submergence low oxygen' vs 'normal air'	7.1	8.51271237058106e-43	
Os08g0433500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-7.1	1.48393912864343e-23	
Os05g0381400	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	7.1	2.77196062678544e-14	
Os01g0859300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7.1	5.71270730811349e-12	
Os10g0177200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-7.1	2.32353570397363e-9	
Os10g0370500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	7.1	3.07777763085131e-9	
Os03g0186900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	7.1	3.9100330348363e-9	
Os06g0246500	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.1	7.24304530138807e-9	
Os10g0177200	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.1	7.24304530138807e-9	
Os03g0322900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7.1	7.8132587097902e-9	
Os04g0301500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	7.1	1.16086501752923e-8	
Os09g0325700	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7.1	3.48946907247043e-8	
Os02g0661100	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	7.1	0.00000147496415905377	
Os01g0955100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	7	5.81161456984895e-72	
Os04g0670500	oryza sativa	E-MTAB-6740	'30 degree celsius' vs '10 degree celsius' in 'seed dormant stage; 192 hour'	-7	6.24586816334114e-47	
Os05g0276500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-7	8.35874349651696e-17	
Os09g0325700	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7	2.75321563118554e-9	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	7	5.6140147769548e-9	
Os10g0370500	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	7	6.5996254545414e-9	
Os06g0246500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7	1.14534094002597e-8	
Os02g0661100	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	7	0.00000814028433604795	
Os03g0230300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.9	1.30072018120383e-137	
Os10g0409400	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain RS105' vs 'mock'	6.9	3.67991059705465e-78	
Os03g0761100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.9	8.62929679831724e-63	
Os01g0615100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.9	3.8229292117753e-43	
Os01g0633500	oryza sativa	E-MTAB-6740	'seed germination stage' vs 'seed dormant stage' in  '30 degree celsius; 8 hour'	-6.9	1.00638380545157e-37	
Os08g0374701	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.9	1.45415154601867e-11	
Os03g0322900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.9	2.30200767420149e-9	
Os06g0110200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.9	4.55413263155697e-9	
Os09g0457100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.9	2.05786071611308e-8	
Os10g0370500	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	6.9	2.91100968098873e-8	
Os05g0381400	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.9	3.75406726259092e-8	
Os09g0109600	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6.9	1.22428510836503e-7	
Os03g0820500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.9	8.93637124419768e-7	
Os05g0349800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.9	0.00000137517975395324	
Os03g0820500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.9	0.00000258919760196184	
Os01g0968800	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.9	0.000640190862123509	
Os04g0659300	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.9	0.000797195193434485	
Os10g0148000	oryza sativa	E-GEOD-33441	'before flowering stage; cyn mutant' vs 'before flowering stage; wild type'	-6.9	0.011442262959774	
Os03g0327800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.8	1.05810491248524e-72	
Os02g0759400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.8	6.21502404347062e-54	
Os12g0150200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	6.8	8.934005389535e-47	
Os03g0180800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.8	1.09609908535065e-34	
Os11g0167800	oryza sativa	E-MTAB-6740	'seed germination stage' vs 'seed dormant stage' in  '30 degree celsius; 8 hour'	-6.8	2.19265062130054e-26	
Os02g0810900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.8	1.33681467319606e-11	
Os01g0571300	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.8	1.07615373223229e-9	
Os03g0322900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.8	2.54040683825489e-9	
Os09g0325700	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.8	4.54147281020252e-9	
Os01g0571300	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.8	8.50785655234065e-9	
Os05g0381400	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.8	1.62784999119543e-7	
Os02g0661100	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6.8	0.00000397321397215115	
Os01g0823500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.7	3.15846279761975e-15	
Os04g0670500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.7	3.9074555819422e-13	
Os05g0349800	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.7	1.66844824744016e-9	
Os01g0571300	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.7	9.92368534224008e-9	
Os04g0301500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.7	1.05889907274716e-8	
Os09g0325700	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.7	0.00000195569728467808	
Os02g0134200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.6	7.34747049520608e-42	
Os08g0374600	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	6.6	1.32448377601937e-35	
Os08g0374701	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	6.6	2.13409100859511e-25	
