Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os02g0649300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.5	8.11910946269808e-21	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; mock'	6.5	0.000454775859064986	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; none'	6.2	0.000313338793192581	
Os05g0476700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.9	6.1844037560823e-100	
Os04g0401700	oryza sativa	E-GEOD-62894	'Pish; avirulent line of rice blast fungus; resistant' at '2 day' vs 'Pish; water; resistant' at '2 day'	5.8	0.00000757133497164918	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	5.8	0.00108792081006937	
Os02g0649300	oryza sativa	E-MTAB-5025	'Laodelphax striatella' vs 'none'	5.7	0	
Os01g0699100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	5.6	4.536310421439e-8	
Os02g0649300	oryza sativa	E-GEOD-58603	'none; wild type genotype; sodium chloride 140 millimolar; leaf' vs 'none; wild type genotype; normal watering; leaf'	5.6	0.000105842200589408	
Os02g0649300	oryza sativa	E-MTAB-5025	'microinjection with insect-derived Rice stripe virus' vs 'microinjection with extracts of nonviruliferous planthoppers'	5.5	5.79234770453892e-210	
Os05g0476700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.5	9.67593084396886e-67	
Os04g0401700	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	5.4	4.63315375934384e-188	
Os01g0626400	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	5.4	0.00000247739835214353	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	5.4	0.00265838809882834	
Os01g0699100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	5.3	4.41050007320521e-7	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae T7174' vs 'IR24; mock'	5.2	0.000733777136211648	
Os02g0649300	oryza sativa	E-GEOD-58603	'none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf' vs 'none; salt-tolerant introgression line PL177; normal watering; leaf'	5.2	0.00166125678062249	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	5.2	0.00339319722293782	
Os02g0649300	oryza sativa	E-GEOD-116423	'ZnF5 deletion mutant' vs 'wild type genotype' in 'ZnF5 and Znf7 cohort'	-5.1	6.58231367516017e-262	
Os01g0699100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	5.1	3.46013362292933e-7	
Os01g0699100	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO86' vs 'Nipponbare; mock'	5.1	0.00000833418855417083	
Os04g0401700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-5	8.40278511110179e-232	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 48 hour' vs 'control; tolerant to chilling'	5	0.00000634408629897665	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	5	0.0000468638290757654	
Os02g0649300	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	4.9	1.37169113286567e-22	
Os02g0649300	oryza sativa	E-MTAB-5118	'60:1 carbon:nitrogen ratio' vs '1:1 carbon:nitrogen ratio'	4.9	0.0000051948662778469	
Os01g0699100	oryza sativa	E-MTAB-5941	'cold temperature regimen; 10 hour' vs 'none; 0 hour' in 'Thaibonnet'	4.8	8.42145784042302e-119	
Os01g0699100	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99AME1' vs 'Nipponbare; mock'	4.8	1.47479130096587e-7	
Os02g0649300	oryza sativa	E-MTAB-5118	'60:60 carbon:nitrogen ratio' vs '1:1 carbon:nitrogen ratio'	4.8	0.0000159666587048449	
Os02g0649300	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99AME1' vs 'Nipponbare; mock'	4.8	0.000157571823994537	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 24 hour' vs 'control; tolerant to chilling'	4.8	0.000305675778579173	
Os04g0401700	oryza sativa	E-GEOD-62894	'Pish; avirulent line of rice blast fungus; resistant' at '3 day' vs 'Pish; water; resistant' at '3 day'	4.8	0.000706576282122734	
Os02g0731200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.7	2.24696726737269e-7	
Os02g0649300	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99A-2' vs 'Nipponbare; mock'	4.7	0.00000581348335683612	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 8 hour' vs 'control; tolerant to chilling'	4.7	0.000153753544299867	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	4.7	0.00071383409696143	
Os02g0649300	oryza sativa	E-MTAB-1624	'300 millimolar sodium chloride' at '24 hours' vs. '5 hours'	4.6	0.00561137902901477	
Os01g0699100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.5	2.64642349473107e-33	
Os01g0699100	oryza sativa	E-MTAB-5941	'cold temperature regimen; 10 hour' vs 'none; 0 hour' in 'Volano'	4.5	1.38623896871755e-32	
Os03g0348900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	4.5	1.76465607760358e-7	
Os01g0699100	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99A-2' vs 'Nipponbare; mock'	4.5	6.01468704382253e-7	
Os01g0699100	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae T7174' vs 'Nipponbare; mock'	4.5	6.85029165897187e-7	
Os12g0169400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-4.4	1.96586015893226e-160	
Os01g0699100	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	4.4	9.14789895217433e-13	
Os01g0141000	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	4.4	1.17568439540959e-8	
Os01g0141000	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	4.4	2.09673683519603e-8	
Os01g0141000	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	4.4	7.50572599853432e-8	
Os01g0182600	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-4.4	8.40394370776752e-7	
Os01g0699100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	4.4	0.00000404689005247243	
Os01g0699100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	4.4	0.0000348421253325817	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	4.4	0.0000984073308422798	
Os02g0649300	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99AME2' vs 'Nipponbare; mock'	4.4	0.000197695302014922	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 2 hour' vs 'control; tolerant to chilling'	4.4	0.000240992683223836	
Os01g0182600	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-4.3	1.2024460907809e-8	
Os01g0741900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	4.3	2.58837038362526e-8	
Os01g0141000	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	4.3	3.95438424397191e-8	
Os04g0460600	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-4.2	1.29066357901316e-27	
Os02g0766700	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-4.2	1.99885750445799e-8	
Os03g0348900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	4.2	2.07414747951405e-7	
Os01g0182600	oryza sativa	E-GEOD-44250	'potassium deficient medium with 6 hour resupply' vs 'potassium deficient medium with no resupply'	4.2	0.00000789939351133363	
Os02g0649300	oryza sativa	E-MTAB-5118	'60:60 carbon:nitrogen ratio' vs '1:60 carbon:nitrogen ratio'	4.2	0.000227668159549874	
Os04g0401700	oryza sativa	E-GEOD-62893	'virulent isolate of Magnaporthe oryzae' vs 'water' in 'susceptible to Magnaporthe oryzae' at '3 day'	4.2	0.0458807187791872	
Os04g0401700	oryza sativa	E-MTAB-5941	'cold temperature regimen; 10 hour' vs 'none; 0 hour' in 'Volano'	4.1	3.19377176396995e-107	
Os03g0348900	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	4.1	1.55421122515042e-45	
Os02g0649300	oryza sativa	E-GEOD-109341	'sodium chloride; 100 millimolar' vs 'none' in 'Vialone Nano; leaf'	4.1	6.21017366976793e-17	
Os01g0626400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-4.1	2.35517723153262e-7	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	4.1	0.000077663810934734	
Os02g0731200	oryza sativa	E-GEOD-35843	'Meloidogyne graminicola' vs 'mock' in 'root tip' at '3 day'	4.1	0.0000989234577670683	
Os04g0401700	oryza sativa	E-GEOD-62894	'pish; virulent line of rice blast fungus; susceptible' at '2 day' vs 'pish; water; susceptible' at '2 day'	4.1	0.0118960279011659	
Os01g0626400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4	1.45470412085196e-30	
Os07g0684900	oryza sativa	E-MTAB-4050	'N-acetylchitoheptaose' vs 'mock' in 'wild type'	4	3.5268704275684e-21	
Os05g0476700	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	4	1.74343651327008e-12	
Os03g0348900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	4	4.13369268310762e-8	
Os03g0348900	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	4	4.43412815612734e-8	
Os01g0141000	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	4	3.66765761846116e-7	
Os01g0141000	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	4	4.33614463681833e-7	
Os01g0699100	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99AME2' vs 'Nipponbare; mock'	4	6.07970395255467e-7	
Os01g0699100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	4	0.00000322303042743653	
Os08g0112700	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	-4	0.00000404462545146649	
Os01g0141000	oryza sativa	E-MEXP-1766	'3 hour, germination' vs '0 hour, dry seed'	4	0.00000661304822947221	
Os01g0823900	oryza sativa	E-MEXP-1766	'3 hour, germination' vs '0 hour, dry seed'	4	0.0000137148893899285	
Os02g0649300	oryza sativa	E-GEOD-58603	'none; wild type genotype; sodium chloride 140 millimolar; root' vs 'none; wild type genotype; normal watering; root'	4	0.00830453406352685	
Os04g0401700	oryza sativa	E-GEOD-62893	'avirulent isolate of Magnaporthe oryzae' vs 'water' in 'resistant to Magnaporthe oryzae' at '2 day'	4	0.0321067842285463	
Os02g0126400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	3.9	5.76024738813804e-91	
Os03g0348900	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	3.9	9.47370923170297e-12	
Os03g0348900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	3.9	1.94320003822987e-8	
Os03g0128700	oryza sativa	E-GEOD-39432	'42 days after flowering' vs '7 days after flowering' in 'endosperm'	3.9	1.30949623387334e-7	
Os08g0492500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	3.9	2.94698938571323e-7	
Os01g0141000	oryza sativa	E-MEXP-2267	'3 hour' vs '1 hour' in 'anaerobic'	3.9	0.00000271395747099444	
Os01g0823900	oryza sativa	E-MEXP-2267	'3 hour' vs '1 hour' in 'anaerobic'	3.9	0.00000541999125753408	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae BLS303' vs 'IR24; mock'	3.9	0.0000178120228264223	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	3.9	0.000032226019564493	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae T7174' vs 'IR24; none'	3.9	0.00910011532515425	
Os02g0649300	oryza sativa	E-GEOD-116423	'ZnF7 deletion mutant' vs 'wild type genotype' in 'ZnF5 and Znf7 cohort'	-3.8	1.4260484180556e-87	
Os01g0141000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	3.8	1.06591513931928e-54	
Os01g0741900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	3.8	9.13258555092175e-8	
Os03g0348900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	3.8	1.17870429808677e-7	
Os03g0128700	oryza sativa	E-GEOD-39432	'28 days after flowering' vs '7 days after flowering' in 'endosperm'	3.8	8.68981557197288e-7	
Os01g0699100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	3.8	0.00000136026467579954	
Os01g0699100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae T7174' vs 'IR24; none'	3.8	0.0000168874023188913	
Os02g0649300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; mock'	3.8	0.0000693047367370042	
Os04g0401700	oryza sativa	E-MTAB-5941	'cold temperature regimen; 10 hour' vs 'none; 0 hour' in 'Thaibonnet'	3.7	1.03422251701315e-52	
Os01g0141000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	3.7	1.76632707825377e-43	
Os02g0649300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	3.7	0.000948013776124821	
Os01g0141000	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	3.6	3.20349221996786e-27	
Os01g0741900	oryza sativa	E-MTAB-6740	'30 degree celsius' vs '10 degree celsius' in 'seed dormant stage; 192 hour'	3.6	6.14356971087559e-24	
Os02g0731200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	3.6	4.48205751350355e-10	
Os02g0766700	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-3.6	5.71410276968725e-8	
Os01g0823900	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	3.6	4.14855637514551e-7	
Os03g0128700	oryza sativa	E-GEOD-39432	'21 days after flowering' vs '7 days after flowering' in 'endosperm'	3.6	7.30194196424995e-7	
Os01g0699100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	3.6	0.00000250710973847826	
Os02g0126400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	3.6	0.00000604305414171979	
Os02g0126400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	3.6	0.0000417394380230203	
Os01g0741900	oryza sativa	E-MEXP-2311	'wild type; internode' vs 'wild type; internode pith parenchyma'	-3.6	0.0000710912558719877	
Os01g0699100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO86' vs 'IR24; none'	3.6	0.000126140560190235	
Os02g0126400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	3.6	0.000388200505753786	
Os04g0401700	oryza sativa	E-GEOD-62894	'pish; virulent line of rice blast fungus; susceptible' at '3 day' vs 'pish; water; susceptible' at '3 day'	3.6	0.00120853878894825	
Os04g0401700	oryza sativa	E-GEOD-62894	'Pish; avirulent line of rice blast fungus; resistant' at '5 day' vs 'Pish; water; resistant' at '5 day'	3.6	0.00218016610071264	
Os04g0401700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-3.5	1.74769604931233e-129	
Os07g0685700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	3.5	2.31791314808014e-65	
Os01g0699100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-3.5	4.28569059021592e-27	
Os08g0118000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	3.5	9.37706477431116e-27	
Os02g0126400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	3.5	2.32390619378657e-26	
Os03g0348900	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	3.5	7.72001221674363e-26	
Os01g0182600	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-3.5	1.18653316249127e-7	
Os01g0823900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	3.5	3.26314605748489e-7	
Os01g0182600	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-3.5	0.00000351753681931251	
Os01g0699100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; none'	3.5	0.0000180289429850779	
Os02g0126400	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 2 hour' vs 'control; tolerant to chilling'	3.5	0.000042013995932307	
Os02g0649300	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	3.5	0.000574817723158058	
Os01g0699100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	3.5	0.00491059691598409	
Os02g0701300	oryza sativa	E-GEOD-21396	'7.0 mm floret' vs '1.5-2.0 mm floret' in 'lemma'	-3.5	0.0107774292042162	
Os01g0626400	oryza sativa	E-MTAB-5025	'Laodelphax striatella' vs 'none'	3.4	9.18703994759433e-54	
Os02g0649300	oryza sativa	E-CURD-48	'sodium dihydrogenphosphate; 0.323 millimolar' vs 'none' in 'treated directly; shoot' at '504 hour'	-3.4	2.90564033402502e-26	
Os01g0626400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	3.4	2.42555336938877e-16	
Os03g0348900	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain L8' vs 'mock'	3.4	5.31531313421285e-11	
Os01g0699100	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	3.4	8.42465603923516e-8	
Os01g0823900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	3.4	4.68423171429191e-7	
Os03g0128700	oryza sativa	E-GEOD-21396	'42 days after flowering' vs '7 days after flowering' in 'endosperm'	3.4	6.87457432715443e-7	
Os01g0823900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	3.4	0.00000133913315888716	
Os01g0823900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	3.4	0.00000265333727145355	
Os01g0699100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae T7174' vs 'IR24; mock'	3.4	0.0000167597158493499	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; mock'	3.4	0.0000178747193080554	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae BLS303' vs 'IR24; none'	3.4	0.000347033981177536	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; none'	3.4	0.000492993688672499	
Os01g0141000	oryza sativa	E-GEOD-61832	'lipopolysaccharide extracted from Xanthomonas oryzae pv. oryzae BXO43' vs 'vehicle'	3.4	0.0294571756044963	
Os01g0741900	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	3.3	2.91517942259023e-68	
Os01g0141000	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	3.3	4.18000067665375e-21	
Os12g0169400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-3.3	5.11769345024329e-19	
Os03g0348900	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	3.3	1.96049597009466e-16	
Os07g0684900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-3.3	4.24813293732073e-9	
Os02g0766700	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	3.3	1.14685812476496e-7	
Os01g0823900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	3.3	0.00000275014292354095	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae T7174' vs 'IR24; none'	3.3	0.0000561758569712182	
Os01g0626400	oryza sativa	E-MEXP-2311	'mutant; internode pith parenchyma' vs 'wild type; internode pith parenchyma'	3.3	0.0000696285058521054	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO86' vs 'IR24; none'	3.3	0.000229639942568777	
Os05g0476700	oryza sativa	E-GEOD-37940	'2 hour;cold stress' vs '0 hour;control' in 'C418'	3.3	0.000293564816421185	
Os01g0191300	oryza sativa	E-MEXP-2311	'wild type; internode' vs 'wild type; internode pith parenchyma'	3.3	0.000433417015396446	
Os01g0699100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	3.3	0.000591416760460399	
Os02g0649300	oryza sativa	E-GEOD-36272	'Nipponbare; Xanthomonas oryzae PXO99A' vs 'Nipponbare; mock'	3.3	0.000672235050515523	
Os02g0649300	oryza sativa	E-MTAB-1624	'300 millimolar sodium chloride' at '24 hours' vs. '1 hour'	3.3	0.00640738272247934	
Os02g0649300	oryza sativa	E-GEOD-29967	'Taichung Native 1; sensitive variety to brown planthopper; 24 hour' vs 'Taichung Native 1; sensitive variety to brown planthopper; 0 hour'	3.3	0.00645668421874913	
Os12g0169400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-3.2	1.54545850181074e-109	
Os07g0685700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	3.2	2.16710744293677e-47	
Os01g0141000	oryza sativa	E-MTAB-6740	'seed germination stage' vs 'seed dormant stage' in  '30 degree celsius; 8 hour'	3.2	8.85931551952634e-43	
Os01g0699100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	3.2	1.37961431475175e-33	
Os02g0649300	oryza sativa	E-MTAB-1625	'normal watering' at '24 hours' vs. '5 hours'	3.2	1.81706407478084e-22	
Os01g0699100	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	3.2	1.02857449908471e-19	
Os01g0141000	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	3.2	4.00944446471015e-19	
Os11g0175500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	3.2	1.06081245411923e-16	
Os02g0649300	oryza sativa	E-GEOD-109341	'sodium chloride; 100 millimolar' vs 'none' in 'Baldo; leaf'	3.2	2.35880083785049e-13	
Os07g0684900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	3.2	5.93445161717971e-9	
Os01g0182600	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'K354'	-3.2	0.0000121865987339463	
Os01g0699100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'K354'	3.2	0.0000384870931122381	
Os03g0140400	oryza sativa	E-MTAB-5941	'cold temperature regimen; 10 hour' vs 'none; 0 hour' in 'Volano'	-3.2	0.0000760551287877731	
Os01g0699100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO86' vs 'IR24; mock'	3.2	0.0000952209417628634	
