Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os02g0782500	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-7	2.03502136826785e-9	
Os02g0782500	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-7	7.24304530138807e-9	
Os03g0245800	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-7	1.63926247345807e-8	
Os04g0445100	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-7	7.1506836163215e-8	
Os01g0184100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.9	5.42878526158181e-25	
Os01g0606900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.9	5.27895109767215e-9	
Os11g0702100	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	6.9	2.45269225712946e-8	
Os01g0606900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.9	3.75219806683693e-8	
Os02g0259900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.8	8.82143308615173e-46	
Os05g0530400	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.8	1.64587811112103e-41	
Os05g0519700	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.8	7.7028359709939e-9	
Os03g0245800	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-6.8	8.1552235076581e-9	
Os01g0170000	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.8	1.00157809213286e-8	
Os05g0519700	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-6.8	3.11703066031098e-8	
Os11g0702100	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6.8	7.36988691463046e-8	
Os11g0702100	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	6.8	2.49334708547117e-7	
Os02g0758000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.7	2.42592175641877e-86	
Os02g0782500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.7	7.45029939289993e-8	
Os01g0606900	oryza sativa	E-MTAB-5170	'elf18' vs 'none' in 'EFR:XA21:GFP' at '6 hour'	6.6	8.31747848975938e-95	
Os01g0606900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.6	2.08331054503048e-9	
Os02g0782500	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.6	3.91412978626424e-9	
Os02g0782500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.6	1.17224775545963e-8	
Os02g0259900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.6	4.15281962713852e-8	
Os03g0161900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.5	4.83885700618251e-103	
Os11g0702100	oryza sativa	E-MEXP-2311	'mutant; internode pith parenchyma' vs 'wild type; internode pith parenchyma'	6.5	0.0000147095286166246	
Os01g0184100	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	6.5	0.00046903802102447	
Os04g0538000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.4	5.08459935867774e-57	
Os02g0782500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.4	5.6640214743782e-8	
Os11g0702100	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	6.4	9.64958810215609e-8	
Os02g0259900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6.3	1.68735293448748e-9	
Os02g0658800	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	6.3	4.8975661523375e-9	
Os03g0267000	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	6.3	0.0000836831649228008	
Os02g0758000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.2	5.93880524105549e-28	
Os11g0702100	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	6.2	2.95983419588426e-21	
Os03g0286900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.2	2.54040683825489e-9	
Os02g0259900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.2	4.55413263155697e-9	
Os01g0170000	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-6.2	2.17566198532478e-8	
Os05g0519700	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.2	2.59015252171714e-8	
Os01g0136200	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6.1	1.84746571951171e-14	
Os03g0245800	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6.1	6.26936723401711e-13	
Os03g0286900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.1	1.02322877249002e-8	
Os01g0170000	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-6.1	1.58906435582534e-8	
Os03g0267000	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	6.1	0.00000149670893810858	
Os02g0758000	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	6.1	0.0000836831649228008	
Os03g0170900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6	5.53653641264046e-175	
Os05g0519700	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6	1.23529310636216e-9	
Os03g0286900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6	4.61779510229917e-9	
Os02g0259900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6	7.48347875166792e-9	
Os03g0286900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6	1.00157809213286e-8	
Os03g0267000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6	0.0000805553164777807	
Os01g0606900	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-5.9	9.42820291088443e-9	
Os03g0267000	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.9	1.49877387678963e-8	
Os01g0170000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-5.9	1.94100304635374e-8	
Os03g0286900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	5.9	1.187754960259e-7	
Os03g0286900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.9	3.8091750867725e-7	
Os11g0244200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.9	0.00000199061935039064	
Os05g0519700	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	5.9	0.00146893446606925	
Os01g0184100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.8	5.7860003586583e-19	
Os05g0519700	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-5.8	8.77079307817307e-9	
Os03g0245800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	5.8	1.20108385046165e-8	
Os02g0782500	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-5.8	2.42704384186516e-8	
Os03g0267200	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	5.8	0.00046903802102447	
Os03g0286900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	5.7	9.62110794098988e-9	
Os01g0184100	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.7	3.49137616605966e-8	
Os04g0445100	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-5.7	3.07623404118976e-7	
Os04g0107900	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	5.7	0.00046903802102447	
Os02g0259900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-5.6	2.945576004132e-8	
Os01g0136200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.6	8.44262139561598e-8	
Os05g0519700	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	5.6	0.00000149670893810858	
Os10g0419300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.5	7.47855680739096e-146	
Os02g0658800	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 10 degree celsius'	-5.5	2.25628430596069e-20	
Os03g0245800	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	5.5	2.1290148478247e-19	
Os03g0286900	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-5.5	1.10665254351149e-8	
Os06g0206900	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	-5.5	0.000105685842829282	
Os01g0184100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.4	3.12278438321126e-7	
Os03g0245800	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-5.4	4.27000333445159e-7	
Os01g0626400	oryza sativa	E-GEOD-38023	'recovery from cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	5.4	0.00000247739835214353	
Os04g0445100	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	5.4	0.00000546706072657235	
Os03g0161900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.3	3.89827428496776e-64	
Os05g0519700	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	5.3	1.16529515920872e-37	
Os04g0445100	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.3	6.22835523779256e-14	
Os03g0267000	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-5.3	1.00157809213286e-8	
Os01g0606900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-5.3	1.05696646236155e-8	
Os02g0782500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	5.3	6.10429758117445e-8	
Os11g0702100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	5.3	0.000641542981764354	
Os01g0136200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain L8' vs 'mock'	5.2	3.27706348767678e-30	
Os04g0538000	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.2	1.7181708381614e-26	
Os03g0245800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	5.2	2.7267332852199e-22	
Os01g0292700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	5.2	1.72517964415983e-17	
Os03g0267000	oryza sativa	E-GEOD-115371	'72 hour anaerobic environment; 24 hour aerobic environment' vs 'none' in '96 hour; coleoptile'	-5.2	3.34700124322054e-14	
Os03g0245800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.2	1.4878628387729e-10	
Os01g0757500	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.2	1.49877387678963e-8	
Os02g0782500	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.2	8.59839515879954e-8	
Os03g0245800	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-5.2	1.22995834032172e-7	
Os02g0658800	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	5.2	2.77517652082442e-7	
Os11g0702100	oryza sativa	E-MEXP-2267	'3 hour' vs '1 hour' in 'anaerobic'	5.2	0.00000578199714739556	
Os07g0523300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-5.2	0.00060939068401718	
Os02g0758000	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	5.1	4.00401645088209e-65	
Os10g0419300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.1	7.89154611007183e-16	
Os03g0286900	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.1	4.10927089955006e-14	
Os11g0702100	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.1	4.25242016125023e-13	
Os01g0184100	oryza sativa	E-MTAB-4406	'moderately resistant to bacterial panicle blight disease' vs 'susceptible to bacterial panicle blight disease' in 'control' at 'flowering stage'	5.1	2.17387810435973e-11	
Os06g0195800	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.1	1.49877387678963e-8	
Os05g0519700	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-5.1	2.54078924057232e-8	
Os03g0267000	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-5.1	6.29247478773821e-8	
Os05g0519700	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	5.1	2.44087463881875e-7	
Os01g0606900	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	5.1	0.00000368526760026304	
Os02g0658800	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	5	1.68350769425565e-28	
Os04g0538000	oryza sativa	E-CURD-48	'sodium dihydrogenphosphate; 0.323 millimolar' vs 'none' in 'treated directly; root' at '528 hour'	-5	1.94869491161384e-27	
Os01g0136200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-5	7.23381431878897e-8	
Os06g0206900	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	-5	2.97086253864965e-7	
Os02g0758000	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	-5	3.5088254375665e-7	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	5	0.0000468638290757654	
Os04g0107900	oryza sativa	E-GEOD-21396	'5 days after flowering' vs '1 days after flowering' in 'ovary'	-5	0.000573697237707145	
Os11g0702100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; mock'	5	0.00100555690090015	
Os04g0107900	oryza sativa	E-GEOD-21396	'3 days after flowering' vs '1 days after flowering' in 'ovary'	-5	0.00121800970676691	
Os02g0782500	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	5	0.0030118355050968	
Os06g0195800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.9	3.68127277749923e-23	
Os01g0606900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.9	4.05215607291354e-12	
Os04g0107900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.9	1.70405446194432e-9	
Os03g0286900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-4.9	2.83131246926032e-8	
Os06g0195800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	4.9	1.36177846047261e-7	
Os02g0758000	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	-4.9	0.00000483126604333733	
Os03g0286900	oryza sativa	E-GEOD-58603	'none; wild type genotype; sodium chloride 140 millimolar; leaf' vs 'none; wild type genotype; normal watering; leaf'	4.9	0.000230685725103658	
Os09g0526600	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	4.9	0.00102471075402199	
Os02g0122100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.8	6.62896371779018e-25	
Os05g0519700	oryza sativa	E-CURD-48	'sodium dihydrogenphosphate; 0.323 millimolar' vs 'none' in 'treated directly; root' at '528 hour'	-4.8	1.00208485093397e-20	
Os03g0267200	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Mutant'	4.8	2.555141343091e-8	
Os04g0107900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-4.8	2.65010355027607e-8	
Os11g0702100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	4.8	0.0000984073308422798	
Os02g0658800	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain RS105' vs 'mock'	4.7	1.57088049925838e-42	
Os03g0245800	oryza sativa	E-MTAB-4406	'moderately resistant to bacterial panicle blight disease' vs 'susceptible to bacterial panicle blight disease' in 'control' at 'flowering stage'	-4.7	9.79345505691535e-10	
Os02g0782500	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-4.7	7.71996325236604e-8	
Os06g0195800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	4.7	4.52735403278432e-7	
Os02g0758000	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	-4.7	8.65217840619364e-7	
Os03g0267000	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-4.7	0.00000128126416761388	
Os04g0107900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-4.7	0.00000183901183319594	
Os03g0245800	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	4.7	0.00000824774864200869	
Os01g0606900	oryza sativa	E-GEOD-44250	'potassium deficient medium with 6 hour resupply' vs 'potassium deficient medium with no resupply'	4.7	0.0000239218290973149	
Os02g0782500	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 8 hour' vs 'control; sensitive to chilling'	-4.7	0.0000695510494680351	
Os11g0702100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	4.7	0.00011099453967563	
Os02g0782500	oryza sativa	E-MTAB-1624	'300 millimolar sodium chloride' at '24 hours' vs. '5 hours'	4.7	0.000368961721632087	
Os01g0626400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	4.7	0.00071383409696143	
Os01g0371200	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	4.7	0.00339660576138375	
Os03g0302200	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.6	4.10435745178662e-49	
Os02g0658800	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	4.6	5.97735596027636e-32	
Os01g0170000	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	4.6	2.42078992729676e-13	
Os06g0682900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-4.6	1.85068744455948e-8	
Os04g0107900	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-4.6	2.945576004132e-8	
Os02g0259900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	4.6	5.83045615209721e-8	
Os06g0682900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-4.6	6.81471182259799e-8	
Os03g0245800	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-4.6	2.8939137209202e-7	
Os04g0107900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-4.6	3.18844926171366e-7	
Os01g0136200	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-4.6	0.00000104098248775068	
Os03g0267000	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-4.6	0.00000447576921318795	
Os03g0267200	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	4.6	0.00000824774864200869	
Os01g0136200	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	4.6	0.0000265706210223919	
Os04g0445100	oryza sativa	E-GEOD-33441	'5 days after pollination stage; cyn mutant' vs '5 days after pollination stage; wild type'	-4.6	0.0000359716350117405	
Os02g0658800	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	4.5	3.55884464143239e-10	
Os02g0658800	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	4.5	5.80016721335054e-9	
Os02g0259900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	4.5	2.7900591036481e-7	
Os03g0267000	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-4.5	6.36163698119052e-7	
Os06g0206900	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 8 hour' vs 'control; sensitive to chilling'	-4.5	0.0000995095815445918	
Os11g0702100	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; mock'	4.5	0.000151392942222229	
Os03g0161900	oryza sativa	E-GEOD-54243	'7 day; 30 degree celsius' vs '0 day; 20 degree celsius' in 'Hwi1'	-4.5	0.000188337595301327	
Os01g0757500	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	-4.5	0.000196091510278175	
Os04g0107900	oryza sativa	E-CURD-48	'sodium dihydrogenphosphate; 0.323 millimolar' vs 'none' in 'treated directly; shoot' at '504 hour'	-4.4	3.2137352259048e-69	
